ticker,date,open,high,low,close,volume,ingested_at,source,daily_return,ma_5,ma_20,rsi_14,volatility_20d,price_vs_ma20,processed_at,rel_return_vs_index
MARUTI.NS,2025-11-24,16005.0,16085.0,15911.0,15958.0,525788,2026-03-19T05:07:04.148768+00:00,yfinance,-0.001189,15886.8,15842.7,53.9,0.010556,0.007278,2026-03-19T05:07:25.415957,0.002284
MARUTI.NS,2025-11-25,15958.0,16050.0,15842.0,15889.0,214525,2026-03-19T05:07:04.148768+00:00,yfinance,-0.004324,15878.6,15817.75,51.31,0.010411,0.004504,2026-03-19T05:07:25.415957,-0.00201
MARUTI.NS,2025-11-26,15950.0,16210.0,15950.0,16156.0,314946,2026-03-19T05:07:04.148768+00:00,yfinance,0.016804,15956.2,15810.0,59.43,0.011147,0.021885,2026-03-19T05:07:25.415957,0.0052
MARUTI.NS,2025-11-27,16166.0,16171.0,15875.0,15903.0,339986,2026-03-19T05:07:04.148768+00:00,yfinance,-0.01566,15976.6,15798.25,50.79,0.011444,0.00663,2026-03-19T05:07:25.415957,-0.012311
MARUTI.NS,2025-11-28,15906.0,16049.0,15850.0,15900.0,352340,2026-03-19T05:07:04.148768+00:00,yfinance,-0.000189,15961.2,15782.95,50.69,0.011387,0.007416,2026-03-19T05:07:25.415957,-0.006382
MARUTI.NS,2025-12-01,15975.0,16177.0,15851.0,16097.0,434052,2026-03-19T05:07:04.148768+00:00,yfinance,0.01239,15989.0,15778.5,56.41,0.011767,0.020186,2026-03-19T05:07:25.415957,0.004527
MARUTI.NS,2025-12-02,16127.0,16261.0,16095.0,16239.0,383165,2026-03-19T05:07:04.148768+00:00,yfinance,0.008822,16059.0,15807.9,60.01,0.00902,0.027271,2026-03-19T05:07:25.415957,0.009304
MARUTI.NS,2025-12-03,16219.0,16248.0,16010.0,16082.0,264397,2026-03-19T05:07:04.148768+00:00,yfinance,-0.009668,16044.2,15843.3,54.64,0.008248,0.015066,2026-03-19T05:07:25.415957,0.00233
MARUTI.NS,2025-12-04,16058.0,16135.0,15887.0,15994.0,248812,2026-03-19T05:07:04.148768+00:00,yfinance,-0.005472,16062.4,15870.4,51.84,0.008396,0.007788,2026-03-19T05:07:25.415957,-0.008688
MARUTI.NS,2025-12-05,16000.0,16338.0,15979.0,16282.0,332032,2026-03-19T05:07:04.148768+00:00,yfinance,0.018007,16138.8,15910.55,59.2,0.009148,0.023346,2026-03-19T05:07:25.415957,0.010565
MARUTI.NS,2025-12-08,16200.0,16256.0,16094.0,16187.0,220513,2026-03-19T05:07:04.148768+00:00,yfinance,-0.005835,16156.8,15940.75,56.15,0.009278,0.015448,2026-03-19T05:07:25.415957,0.006417
MARUTI.NS,2025-12-09,16051.0,16226.0,15985.0,16020.0,276388,2026-03-19T05:07:04.148768+00:00,yfinance,-0.010317,16113.0,15959.5,51.16,0.009656,0.003791,2026-03-19T05:07:25.415957,-0.003159
MARUTI.NS,2025-12-10,16090.0,16125.0,15925.0,16019.0,293374,2026-03-19T05:07:04.148768+00:00,yfinance,-6.2e-05,16100.4,15975.65,51.13,0.009648,0.002714,2026-03-19T05:07:25.415957,0.001434
MARUTI.NS,2025-12-11,16049.0,16296.0,15983.0,16248.0,268701,2026-03-19T05:07:04.148768+00:00,yfinance,0.014296,16151.2,16000.6,57.18,0.010085,0.015462,2026-03-19T05:07:25.415957,0.00323
MARUTI.NS,2025-12-12,16248.0,16536.0,16247.0,16522.0,404711,2026-03-19T05:07:04.148768+00:00,yfinance,0.016864,16199.2,16042.5,63.07,0.010539,0.029889,2026-03-19T05:07:25.415957,0.011085
MARUTI.NS,2025-12-15,16500.0,16500.0,16360.0,16415.0,225221,2026-03-19T05:07:04.148768+00:00,yfinance,-0.006476,16244.8,16069.35,59.62,0.010467,0.02151,2026-03-19T05:07:25.415957,0.002609
MARUTI.NS,2025-12-16,16400.0,16451.0,16320.0,16354.0,156134,2026-03-19T05:07:04.148768+00:00,yfinance,-0.003716,16311.6,16090.55,57.69,0.010529,0.016373,2026-03-19T05:07:25.415957,-0.002776
MARUTI.NS,2025-12-17,16389.0,16490.0,16357.0,16398.0,257406,2026-03-19T05:07:04.148768+00:00,yfinance,0.00269,16387.4,16122.05,58.73,0.010174,0.017116,2026-03-19T05:07:25.415957,0.004612
MARUTI.NS,2025-12-18,16440.0,16486.0,16221.0,16329.0,213981,2026-03-19T05:07:04.148768+00:00,yfinance,-0.004208,16403.6,16148.45,56.38,0.010268,0.011181,2026-03-19T05:07:25.415957,0.00188
MARUTI.NS,2025-12-19,16329.0,16475.0,16329.0,16414.0,360190,2026-03-19T05:07:04.148768+00:00,yfinance,0.005205,16382.0,16170.3,58.58,0.010065,0.015071,2026-03-19T05:07:25.415957,-0.007069
MARUTI.NS,2025-12-22,16464.0,16693.0,16414.0,16649.0,271590,2026-03-19T05:07:04.148768+00:00,yfinance,0.014317,16428.8,16204.85,63.97,0.010445,0.027408,2026-03-19T05:07:25.415957,0.006071
